article_key,official_source_url,official_source_access_date,source_location_status,official_article_present_flag,official_text_capture_status,source_notes,arabic_source_verified_by_owner_flag,reviewer_notes
labor_law_art_001,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_002,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_ARTICLE_LOCATION,yes,NEEDS_MANUAL_CAPTURE,Article 2 requires clean official BOE recapture because prior batch capture carried known label shift (BOE displays صاحب العمل where العامل should be per M/134 amendment),pending_owner_review,Batch 001 fix: BOE label-shift confirmed; text deferred to NEEDS_MANUAL_CAPTURE; needs owner review
labor_law_art_003,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_004,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_005,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_006,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_007,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_008,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_009,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_010,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_011,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_012,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_013,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_014,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_015,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_016,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_017,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_018,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_019,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_020,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_021,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 001,pending_owner_review,Batch 001 text captured
labor_law_art_022,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_023,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_024,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_025,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amendment available through BOE show-amendment popup; main DOM may be base text; current consolidated text was not safely captured,pending_owner_review,Batch 001 fix: amended article popup reconciliation needed
labor_law_art_026,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 002,pending_owner_review,Batch 002 text captured
labor_law_art_027,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amended article; BOE main DOM may be base text; amendment shown through popup; current consolidated text not safely captured,pending_owner_review,Batch 002: amended article popup reconciliation needed
labor_law_art_028,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amended article; BOE main DOM may be base text; amendment shown through popup; current consolidated text not safely captured,pending_owner_review,Batch 002: amended article popup reconciliation needed
labor_law_art_029,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,ARTICLE_TEXT_CAPTURED_FROM_BOE,yes,OFFICIAL_TEXT_CAPTURED_BATCH,BOE DOM article text extracted for batch 002,pending_owner_review,Batch 002 text captured
labor_law_art_030,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amended article; BOE main DOM may be base text; amendment shown through popup; current consolidated text not safely captured,pending_owner_review,Batch 002: amended article popup reconciliation needed
labor_law_art_031,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,SOURCE_PAGE_IDENTIFIED,yes,NEEDS_MANUAL_CAPTURE,Amended article; BOE main DOM may be base text; amendment shown through popup; current consolidated text not safely captured,pending_owner_review,Batch 002: amended article popup reconciliation needed
